0, Herz, Bube
1, Kreuz, 6
2, Karo, 3
3, Kreuz, 3
4, Kreuz, 6
5, Herz, 8
6, Herz, Dame
7, Karo, König
8, Karo, Bube
9, Kreuz, Dame
10, Herz, König
11, Pik, 10
12, Herz, Dame
13, Kreuz, 4
14, Pik, König
15, Pik, As
16, Herz, Dame
17, Herz, 7
18, Herz, As
19, Herz, 9
20, Karo, 5
21, Kreuz, 10
22, Herz, 6
23, Pik, 8
24, Herz, 7
25, Herz, Bube
26, Karo, 10
27, Karo, Dame
28, Pik, 9
29, Herz, 9
30, Kreuz, Dame
31, Pik, 5
32, Kreuz, 7
33, Pik, Bube
34, Karo, Dame
35, Karo, König
36, Pik, 7
37, Herz, 8
38, Karo, Bube
39, Kreuz, 8
40, Pik, 5
41, Pik, König
42, Pik, 10
43, Herz, 9
44, Karo, 10
45, Kreuz, 4
46, Herz, 7
47, Karo, König
48, Herz, König
49, Pik, 2
50, Karo, 5
51, Kreuz, 5
52, Kreuz, 9
53, Kreuz, König
54, Pik, 8
55, Karo, Dame
56, Karo, 2
57, Kreuz, Bube
58, Kreuz, 6
59, Herz, Bube
60, Herz, 9
61, Karo, 5
62, Pik, 7
63, Herz, König
64, Herz, 8
65, Herz, 9
66, Pik, König
67, Herz, Bube
68, Pik, 8
69, Karo, 6
70, Karo, Dame
71, Pik, 7
72, Kreuz, Bube
73, Pik, 3
74, Kreuz, 7
75, Kreuz, 6
76, Pik, 8
77, Pik, 6
78, Pik, 9
79, Karo, 2
80, Pik, 9
81, Kreuz, König
82, Pik, 2
83, Kreuz, As
84, Pik, 4
85, Karo, 10
86, Karo, 9
87, Karo, 7
88, Karo, 2
89, Pik, 9
90, Pik, 4
91, Pik, König
92, Pik, König
93, Kreuz, 10
94, Herz, 9
95, Karo, 2
96, Herz, Dame
97, Pik, 3
98, Herz, 4
99, Karo, As
100, Pik, 9
101, Pik, König
102, Kreuz, 6
103, Pik, 7
104, Karo, 8
105, Herz, 3
106, Herz, 3
107, Kreuz, 8
108, Pik, Dame
109, Pik, 7
110, Herz, 5
111, Karo, Dame
112, Herz, 9
113, Karo, 3
114, Kreuz, 6
115, Pik, Dame
