0, Kreuz, 3
1, Kreuz, 6
2, Pik, 4
3, Karo, 6
4, Kreuz, 3
5, Pik, 7
6, Pik, As
7, Kreuz, 2
8, Herz, 8
9, Herz, 4
10, Herz, 8
11, Karo, 6
12, Pik, 10
13, Karo, König
14, Karo, 3
15, Kreuz, 7
16, Pik, König
17, Karo, 6
18, Karo, As
19, Herz, 2
20, Kreuz, 5
21, Kreuz, 8
22, Kreuz, 3
23, Karo, 5
24, Kreuz, 3
25, Pik, 9
26, Karo, 7
27, Karo, Bube
28, Pik, 4
29, Karo, 2
30, Kreuz, 6
31, Herz, König
32, Herz, 5
33, Pik, 4
34, Kreuz, 3
35, Kreuz, 6
36, Kreuz, König
37, Karo, As
38, Herz, 9
39, Pik, 9
40, Herz, 5
41, Herz, Bube
42, Herz, 3
43, Karo, Bube
44, Herz, 5
45, Pik, König
46, Pik, 2
47, Herz, 9
48, Karo, 8
49, Kreuz, Bube
50, Kreuz, 10
51, Karo, 2
52, Pik, 4
53, Pik, 10
54, Herz, 8
55, Karo, 3
56, Karo, Dame
57, Kreuz, König
58, Karo, König
59, Karo, König
60, Herz, 6
61, Herz, 9
62, Herz, Bube
63, Pik, 3
64, Karo, 5
65, Kreuz, 7
66, Karo, 9
67, Kreuz, 6
68, Herz, Bube
69, Herz, 6
70, Herz, 5
71, Karo, 3
72, Pik, 10
73, Karo, As
74, Pik, 5
75, Kreuz, Dame
76, Karo, 2
77, Pik, 2
78, Pik, 3
79, Herz, 4
80, Kreuz, Dame
81, Kreuz, König
82, Herz, 7
83, Karo, 2
84, Pik, Dame
85, Pik, König
86, Karo, 10
87, Herz, 7
88, Kreuz, 2
89, Karo, 10
90, Kreuz, Bube
91, Kreuz, 6
92, Pik, 3
93, Pik, As
94, Karo, Bube
95, Karo, 3
96, Karo, 5
97, Herz, 8
98, Karo, König
99, Kreuz, 6
100, Pik, Bube
101, Kreuz, 4
102, Kreuz, 8
103, Karo, König
104, Kreuz, 8
105, Pik, 8
106, Karo, 2
107, Pik, 2
108, Karo, 10
109, Karo, König
110, Pik, As
111, Kreuz, 2
112, Herz, 9
113, Kreuz, 9
114, Herz, 9
115, Pik, 5
116, Kreuz, Dame
117, Karo, 7
118, Kreuz, 9
119, Karo, 9
120, Pik, 4
121, Herz, 5
122, Pik, Dame
123, Kreuz, 5
124, Herz, König
125, Kreuz, 4
126, Herz, 8
127, Kreuz, 10
128, Herz, As
129, Herz, 9
130, Herz, 9
131, Karo, 9
132, Herz, As
133, Karo, 2
134, Herz, 4
135, Karo, Dame
136, Kreuz, 10
137, Pik, Dame
138, Karo, 7
139, Kreuz, 5
140, Pik, König
141, Karo, 9
142, Kreuz, 8
143, Herz, As
144, Kreuz, 3
145, Pik, 10
146, Pik, 6
147, Karo, König
148, Karo, 8
149, Karo, 4
150, Kreuz, König
151, Karo, König
152, Karo, Bube
153, Herz, 6
154, Herz, 7
155, Karo, 2
156, Herz, 3
157, Kreuz, 7
158, Kreuz, König
159, Karo, König
160, Pik, 4
161, Karo, As
162, Pik, Dame
163, Pik, 9
164, Karo, König
165, Kreuz, 2
166, Pik, 4
167, Karo, 4
168, Herz, König
169, Karo, 7
170, Pik, 8
171, Pik, 9
172, Herz, Bube
173, Kreuz, 10
174, Pik, 6
175, Karo, 2
176, Karo, 10
177, Herz, 2
178, Kreuz, 6
179, Pik, König
180, Herz, Dame
181, Kreuz, 3
182, Kreuz, Bube
183, Karo, 8
184, Kreuz, 10
185, Herz, König
186, Kreuz, 6
187, Kreuz, 7
188, Kreuz, Dame
189, Herz, 7
190, Pik, 9
191, Karo, 5
192, Pik, 6
193, Pik, 8
194, Pik, 8
195, Pik, 3
196, Pik, 5
197, Karo, 3
198, Herz, 5
199, Pik, Bube
200, Kreuz, 6
201, Pik, König
202, Pik, 8
